rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
113,42.0,972,"第81回全国競技かるた桑名大会(A,B,C,D,E)",2024-03-16,桑名大会,4,A(A):round欠番(7/8); 優勝者導出なし / B(B):round欠番(7/8); 優勝者導出なし / D(D):round欠番(6/8); 優勝者導出なし
114,42.0,1084,"第82回全国競技かるた桑名大会(A,B,C,D,E)",2025-03-15,桑名大会,5,A(A):round欠番(7/8); 優勝者導出なし / B(B):round欠番(7/8); 優勝者導出なし / C(C):優勝者導出なし
115,41.1,908,第4回競技かるた初段認定滋賀県大会,2023-10-22,初段認定滋賀県大会,1,E(E):ミラー欠落100%(69件); 無対戦参加者13%(6人); 優勝者導出なし
116,40.7,1123,"第8回全国競技かるた秋田大会(D,E)",2025-08-31,秋田大会,2,E(E):相手未解決17%(28件); 優勝者導出なし / D(D):相手未解決12%(11件); 優勝者導出なし
117,39.2,645,第41回全国小倉百人一首かるた競技太宰府大会,2011-01-10,太宰府大会,1,提出用２パート(-):相手未解決3%(2件); ミラー欠落100%(60件); 優勝者導出なし
118,38.0,1040,"第40回全国競技かるた熊本大会(C,D,E)",2024-10-27,熊本大会,3,D(D):無対戦参加者100%(84人) / C(C):round欠番(4/5); 優勝者導出なし / E(E):優勝者導出なし
119,38.0,1248,"第29回全国競技かるた多摩大会(A,B,C)",2022-05-01,多摩大会,6,C3(C):優勝者導出なし; 相手名ゴミ2件 / C1(C):優勝者導出なし / C2(C):優勝者導出なし
120,37.3,1439,第10回全国競技かるた兵庫大会,2013-06-30,兵庫大会,5,B123(B):ミラー欠落3%(6件); 勝敗矛盾2件; 優勝者導出なし / 第１０回A12(-):優勝者導出なし / C12(C):優勝者導出なし
121,37.1,1087,第55回全国小・中学生選手権大会,2025-03-23,小・中学生選手権,3,小二以下級(-):相手未解決8%(5件); ミラー欠落10%(5件) / 小六級(-):相手未解決7%(7件); ミラー欠落7%(5件) / 小四級(-):ミラー欠落5%(4件)
122,36.3,964,小倉百人一首競技かるた 第54回全国小・中学生選手権大会,2024-03-24,小・中学生選手権,3,小学２年以下級(-):相手未解決11%(6件); ミラー欠落14%(6件) / 中学３年級(-):相手未解決4%(4件); ミラー欠落5%(4件) / 小学６年級(-):ミラー欠落3%(2件)
123,36.0,692,第6回足利百人一首かるた競技大会,2013-10-27,足利大会,6,A(A):優勝者導出なし / Ｂ級(B):優勝者導出なし / Ｃ級(C):優勝者導出なし
124,36.0,718,第32回小倉百人一首競技かるた小山大会 A級,2014-08-10,小山大会,6,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
125,36.0,745,天智天皇杯第4回百人一首朝倉大会,2015-09-20,朝倉大会,1,第４回(-):相手未解決82%(555件); 優勝者導出なし
126,36.0,799,第35回小倉百人一首競技かるた小山大会,2017-08-20,小山大会,6,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
127,36.0,925,第11回全国競技かるた山口大会(A),2023-12-10,山口大会,1,A級(A):相手未解決33%(62件); 優勝者導出なし
128,36.0,928,第3回競技かるた初段認定鳥取大会,2023-12-03,初段認定鳥取大会,1,Sheet1(-):相手未解決100%(78件); 優勝者導出なし
129,36.0,981,第2回全国競技かるた千葉大会(C級),2024-05-19,千葉大会,1,結果(-):ミラー欠落100%(170件); 優勝者導出なし
130,36.0,989,第2回全国競技かるた千葉大会(06/15),2024-06-15,千葉大会,1,結果(-):ミラー欠落100%(166件); 優勝者導出なし
131,36.0,1108,第3回全国競技かるた千葉大会(A),2025-07-26,千葉大会,1,A級(A):ミラー欠落100%(178件); 優勝者導出なし
132,36.0,1138,第3回全国競技かるた千葉大会(B),2025-10-04,千葉大会,1,B級(B):ミラー欠落100%(195件); 優勝者導出なし
133,36.0,1159,第79回全国競技かるた東京東会大会(B),2025-11-30,東京東会大会,1,B(B):ミラー欠落100%(298件); 優勝者導出なし
134,36.0,1160,第79回全国競技かるた東京東会大会(C),2025-11-29,東京東会大会,1,C(C):ミラー欠落100%(171件); 優勝者導出なし
135,36.0,1195,第79回全国競技かるた東京東会大会(A),2026-02-21,東京東会大会,1,A(A):ミラー欠落100%(245件); 優勝者導出なし
136,36.0,1196,第79回全国競技かるた東京東会大会(D),2026-02-22,東京東会大会,1,D(D):ミラー欠落100%(345件); 優勝者導出なし
137,36.0,1284,第6回米国かるた大会,2022-09-05,米国大会,1,D(D):相手未解決50%(6件); 優勝者導出なし
138,36.0,1287,第2回全国競技かるた初段認定徳島大会,2022-08-21,初段認定徳島大会,1,結果詳細(-):相手未解決97%(114件); 優勝者導出なし
139,36.0,1299,第2回競技かるた初段認定鳥取大会,2022-10-02,初段認定鳥取大会,1,Sheet1(-):相手未解決100%(81件); 優勝者導出なし
140,36.0,1406,第4回競技かるた初段認定山口大会,2023-07-17,初段認定山口大会,1,初段結果(-):相手未解決98%(124件); 優勝者導出なし
141,36.0,1438,第14回神奈川県かるた選手権大会,2011-11-26,神奈川県選手権,1,対戦結果(-):相手未解決89%(132件); 優勝者導出なし
142,36.0,1502,第5回競技かるた初段認定山口大会,2024-03-10,初段認定山口大会,1,A級(A):相手未解決94%(45件); 優勝者導出なし
143,36.0,1503,第3回競技かるた初段認定山口大会,2023-03-05,初段認定山口大会,1,A級(A):相手未解決98%(112件); 優勝者導出なし
144,34.4,1504,第2回競技かるた初段認定茨城大会,2022-11-13,初段認定茨城大会,1,A級(A):相手未解決8%(15件); ミラー欠落21%(38件); 優勝者導出なし
145,34.3,1516,第57期クイーン戦西日本予選,2012-10-21,クイーン戦西日本予選,1,クイーン位西日本予選(-):相手未解決17%(10件); ミラー欠落17%(8件)
146,32.0,881,第1回競技かるた初段認定滋賀大会,,初段認定滋賀大会,4,B(B):round進行異常1箇所; 優勝者導出なし / F2級（並び替え前）(-):優勝者導出なし / Ｃ級 (非表示)(C):優勝者導出なし
147,30.0,719,第三回前橋百人一首かるた大会 各級順位,,前橋大会,5,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
148,30.0,865,第3回近江勧学館初心者かるた大会,,近江勧学館初心者大会,5,E1(E):優勝者導出なし / E2(E):優勝者導出なし / E3(E):優勝者導出なし
149,30.0,1102,第20回全国競技かるた兵庫大会,2025-04-29,兵庫大会,5,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
150,30.0,1204,第27回こばえちゃ山形全国競技かるた酒田大会,2026-04-19,こばえちゃ山形酒田大会,5,A(A):優勝者導出なし / B級(B):優勝者導出なし / C級(C):優勝者導出なし
151,29.2,1306,第5回全国競技かるた福島大会(D),2022-06-26,福島大会,1,D級(D):相手未解決29%(14件)
152,28.8,1262,第3回競技かるた初段認定杉並大会(1日目),2022-06-19,初段認定杉並大会,4,26日午前(-):ミラー欠落5%(2件); 優勝者導出なし / 19日午前(-):優勝者導出なし / 19日午後(-):優勝者導出なし
153,28.0,695,第1回関東地区初心者かるた大会,2013-12-08,関東地区初心者大会,2,F級試合結果（所属会順）(-):勝敗矛盾2件; round欠番(4/7); 優勝者導出なし / E(E):round欠番(4/7); 優勝者導出なし
154,27.2,1156,"第89回椿杯争奪全国競技かるた大会(D,E)",2025-11-24,椿杯大会,3,F級(-):相手未解決6%(3件); ミラー欠落9%(3件) / D(D):優勝者導出なし / E(E):優勝者導出なし
155,26.0,864,小倉百人一首競技かるた 第51回全国小・中学生選手権大会,2021-03-28,小・中学生選手権,2,中学３年級(-):相手未解決11%(11件); ミラー欠落9%(6件) / 中学２年級(-):相手未解決3%(3件); ミラー欠落4%(3件)
156,26.0,1270,第5回全国競技かるた福島大会(E),2022-07-03,福島大会,1,E級(E):相手未解決20%(15件); 優勝者導出なし
157,24.3,1390,第4回競技かるた初段認定島根大会,2023-05-28,初段認定島根大会,1,E(E):相手未解決3%(3件); ミラー欠落7%(6件); round進行異常1箇所
158,24.1,995,第78回全国競技かるた東京東会大会(E),2024-07-06,東京東会大会,1,E(E):ミラー欠落3%(18件); 同round重複112件; 優勝者導出なし
159,24.0,655,第18回東京都かるた大会,,東京都大会,2,D1(D):勝敗矛盾4件; 優勝者導出なし / D2(D):勝敗矛盾2件; 優勝者導出なし
160,24.0,784,第41回全国競技かるた宗像大社大会の結果について(大会報告),2017-06-27,宗像大社大会,4,B(B):優勝者導出なし / C(C):優勝者導出なし / D(D):優勝者導出なし
161,24.0,787,第5回全国競技かるた山口大会,2017-12-23,山口大会,4,Ｂ級(B):優勝者導出なし / Ｃ級(C):優勝者導出なし / Ｄ級(D):優勝者導出なし
162,24.0,818,第38回全国競技かるた鹿児島大会,,鹿児島大会,4,B(B):優勝者導出なし / C(C):優勝者導出なし / D(D):優勝者導出なし
163,24.0,826,第49回全国競技かるた太宰府大会の結果について(大会報告),2019-01-20,太宰府大会,4,B(B):優勝者導出なし / C(C):優勝者導出なし / D(D):優勝者導出なし
164,24.0,918,東京大学かるた会創立40周年記念全国大会,2023-11-04,,4,B(B):優勝者導出なし / C(C):優勝者導出なし / D(D):優勝者導出なし
165,24.0,945,"第53回太宰府小倉百人一首競技かるた大会(A,B,C,D)",2024-01-21,太宰府大会,4,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
166,24.0,975,第25回こばえちゃ山形全国競技かるた酒田大会,2024-04-21,こばえちゃ山形酒田大会,4,B(B):優勝者導出なし / C級(C):優勝者導出なし / D級(D):優勝者導出なし
167,24.0,1048,"第14回全国競技かるた岡山大会(A,B,C)",2024-11-23,岡山大会,4,A(A):優勝者導出なし / B(B):優勝者導出なし / C23(C):優勝者導出なし
168,24.0,1089,第26回こばえちゃ山形全国競技かるた 酒田大会,2025-04-20,こばえちゃ山形酒田大会,4,B級(B):優勝者導出なし / C級(C):優勝者導出なし / D級(D):優勝者導出なし
169,24.0,1158,"第15回全国競技かるた岡山大会(A,B,C)",2025-11-29,岡山大会,4,A(A):優勝者導出なし / B(B):優勝者導出なし / C29(C):優勝者導出なし
170,24.0,1382,第24回こばえちゃ山形全国競技かるた酒田大会,2023-04-23,こばえちゃ山形酒田大会,4,B(B):優勝者導出なし / C(C):優勝者導出なし / D(D):優勝者導出なし
171,24.0,1427,第23回全国競技かるた富山大会,2023-09-17,富山大会,4,A(A):優勝者導出なし / B(B):優勝者導出なし / D(D):優勝者導出なし
172,24.0,1448,第83回全国競技かるた北國大会,2024-10-05,北國大会,4,A級(A):優勝者導出なし / C級(C):優勝者導出なし / D級(D):優勝者導出なし
173,23.4,312,第34回小倉百人一首かるた競技宮崎大会,2016-12-18,宮崎大会,4,D5(D):相手未解決8%(4件) / D2(D):相手未解決7%(4件) / D4(D):相手未解決7%(4件)
174,23.2,1061,第54回 太宰府小倉百人一首競技かるた大会,2025-01-11,太宰府大会,3,A(A):ミラー欠落2%(3件); 優勝者導出なし; 相手名ゴミ3件 / B(B):優勝者導出なし / C(C):優勝者導出なし
175,23.1,1419,"第94回全国競技かるた学生選手権大会(B,C,D,E)",2023-08-26,学生選手権,1,D1(D):相手未解決3%(1件); ミラー欠落3%(1件); 無対戦参加者41%(11人)
176,21.9,1176,第77回全国競技かるた京都大会(CDE級),2026-01-17,京都大会,2,E8(E):相手未解決16%(7件) / D9(D):優勝者導出なし
177,21.5,680,第43回全国小中学生かるた選手権大会,2013-03-24,小・中学生選手権,1,小学６年生級(-):相手未解決8%(16件); ミラー欠落13%(16件)
178,20.8,869,第1回競技かるた初段認定米国大会,2021-07-17,初段認定米国大会,1,対戦結果(-):相手未解決7%(2件); ミラー欠落8%(2件); 優勝者導出なし
179,20.8,1355,第24回稲城市民かるた大会,2023-02-05,稲城市民大会,3,初心者B(B):ミラー欠落3%(3件); 優勝者導出なし / 一般(-):優勝者導出なし / 初心者A(A):優勝者導出なし
180,20.7,1367,第53回全国小・中学生選手権大会,2023-03-26,小・中学生選手権,2,小四級(-):相手未解決13%(13件) / 小五級(-):ミラー欠落7%(6件)
181,20.5,714,第21回東京都かるた大会,,東京都大会,2,E3(E):相手未解決6%(3件); ミラー欠落7%(3件) / E4(E):相手未解決4%(2件); ミラー欠落4%(2件)
182,20.5,1203,"第15回全国競技かるた岡山大会(D,E・03/29)",2026-03-29,岡山大会,2,E(E):相手未解決2%(2件); round欠番(5/6); 優勝者導出なし / D(D):優勝者導出なし
183,20.3,795,第40回全国小・中学生競技かるた選手権福井大会,2017-11-17,小中学生選手権福井,1,小学1年生以下級(-):相手未解決14%(2件); 優勝者導出なし
184,20.0,786,第8回全国競技かるた岡山大会 大会結果表,2017-11-25,岡山大会,1,参加選手(-):無対戦参加者100%(176人)
185,20.0,1086,第54回全国競技かるた松山大会,2025-03-20,松山大会,3,C(C):相手未解決2%(5件); 優勝者導出なし / A(A):優勝者導出なし / B(B):優勝者導出なし
186,19.3,804,第41回 全国小・中学生競技かるた選手権福井大会 結果報告表,,小中学生選手権福井,1,小学1年生以下級(-):相手未解決13%(2件); 優勝者導出なし
187,19.3,877,第2回競技かるた初段認定米国大会,2021-08-22,初段認定米国大会,1,対戦結果(-):無対戦参加者33%(3人); 優勝者導出なし
188,18.0,359,第66回高松宮記念杯近江神宮全国競技かるた大会(D),2017-01-09,高松宮杯,3,E1(E):優勝者導出なし / E2(E):優勝者導出なし / E3(E):優勝者導出なし
189,18.0,666,"第82回全国かるた競技学生選手権大会結果報告(C,D)",,学生選手権,2,C3(C):ミラー欠落9%(10件) / C2(C):ミラー欠落9%(10件)
190,18.0,706,"第63回高松宮記念杯近江神宮全国歌かるた大会(D,E)",2014-01-13,高松宮杯,3,E1(E):優勝者導出なし / E2(E):優勝者導出なし / E3(E):優勝者導出なし
191,18.0,707,第15回 稲城市民かるた大会,2014-02-02,稲城市民大会,3,一般(-):優勝者導出なし / 初心者Ａ(A):優勝者導出なし / 初心者Ｂ(B):優勝者導出なし
192,18.0,746,"第65回高松宮記念杯近江神宮全国競技かるた大会(D,E)",,高松宮杯,3,E1(E):優勝者導出なし / E2(E):優勝者導出なし / E3(E):優勝者導出なし
193,18.0,820,第47回 全国競技かるた大分大会結果表,2019-03-10,大分大会,3,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
194,18.0,899,第2回初段認定杉並大会,2021-12-27,初段認定杉並大会,3,荻窪(-):優勝者導出なし / 九品仏(午前)(-):優勝者導出なし / 九品仏(午後)(-):優勝者導出なし
195,18.0,947,第75回全国競技かるた京都大会,2024-01-21,京都大会,3,C(C):優勝者導出なし / D(D):優勝者導出なし / E(E):優勝者導出なし
196,18.0,965,第43回全国競技かるた鹿児島大会,2024-03-24,鹿児島大会,3,B(B):優勝者導出なし / C(C):優勝者導出なし / D(D):優勝者導出なし
197,18.0,983,"第88回椿杯争奪全国競技かるた大会(A,B,C)",2024-05-25,椿杯大会,3,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
198,18.0,991,"第77回全国競技かるた福井大会(A,B,C)",2024-06-30,福井大会,3,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
199,18.0,1012,"第95回全国競技かるた学生選手権大会(C,D,E)",2024-08-24,学生選手権,3,C(C):優勝者導出なし / D(D):優勝者導出なし / E(E):優勝者導出なし
200,18.0,1058,"第14回全国競技かるた岡山大会(D,E)",2024-12-22,岡山大会,2,D(D):round欠番(6/7); 優勝者導出なし / E(E):優勝者導出なし
201,18.0,1088,"第44回全国競技かるた鹿児島大会(A,B,C)",2025-03-23,鹿児島大会,3,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
202,18.0,1095,"第89回椿杯争奪全国競技かるた大会(A,B,C)",2025-05-24,椿杯大会,3,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
203,18.0,1130,"第21回全国競技かるた香川大会(C,D,E)",2025-09-21,香川大会,3,C(C):優勝者導出なし / D(D):優勝者導出なし / E(E):優勝者導出なし
204,18.0,1144,"第53回全国競技かるた大分大会(C,D,E)",2025-09-21,大分大会,3,C(C):優勝者導出なし / D(D):優勝者導出なし / E(E):優勝者導出なし
205,18.0,1199,"第45回全国競技かるた鹿児島大会(A,B,C)",2026-03-15,鹿児島大会,3,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
206,18.0,1201,第55回全国競技かるた松山大会,2026-03-20,松山大会,3,A(A):優勝者導出なし / B(B):優勝者導出なし / C(C):優勝者導出なし
207,18.0,1217,第90回椿杯争奪全国競技かるた大会,2026-05-30,椿杯大会,3,D(D):優勝者導出なし / E(E):優勝者導出なし / F級(-):優勝者導出なし
208,18.0,1233,第41回全国競技かるた鹿児島大会,2022-03-27,鹿児島大会,3,B(B):優勝者導出なし / C(C):優勝者導出なし / E(E):優勝者導出なし
209,18.0,1290,第29回全国競技かるた多摩大会(09/24),2022-09-24,多摩大会,3,F(-):優勝者導出なし / 小(-):優勝者導出なし / 中(-):優勝者導出なし
210,18.0,1295,第6回全国競技かるた信州大会(B),2022-09-23,信州大会,3,1(-):優勝者導出なし / 2(-):優勝者導出なし / 3(-):優勝者導出なし
211,18.0,1398,"第76回全国競技かるた福井大会(A,B,C,D)",2023-06-24,福井大会,3,B(B):優勝者導出なし / C(C):優勝者導出なし / D(D):優勝者導出なし
212,17.4,662,第13回 稲城市民かるた大会,2012-02-05,稲城市民大会,1,対戦結果(-):相手未解決2%(8件); ミラー欠落5%(16件); 勝敗矛盾2件
213,17.4,912,第2回競技かるた初段認定三原大会,2023-10-29,初段認定三原大会,2,詳細結果（午前）(-):ミラー欠落3%(2件); 優勝者導出なし / 詳細結果（午後）(-):ミラー欠落3%(2件); 優勝者導出なし
214,17.1,754,第69回 全国競技かるた東京東会大会,,東京東会大会,2,B2(B):ミラー欠落16%(30件) / C3(C):相手名ゴミ1件
215,16.8,788,第25回全国競技かるた多摩大会 初心者の部 日野市大会,,多摩大会初心者の部,1,詳細結果(-):相手未解決3%(11件); ミラー欠落4%(11件); 勝敗矛盾2件
216,16.7,54,第65回全国かるた競技東京東会大会,2012-01-22,東京東会大会,5,E2(E):相手未解決3%(2件) / E4(E):相手未解決3%(2件) / E1(E):相手未解決3%(2件)
217,16.1,932,第4回競技かるた初段認定三重大会,2023-12-17,初段認定三重大会,1,結果詳報(-):相手未解決6%(3件); 無対戦参加者11%(2人); 優勝者導出なし
218,16.0,758,第17回上杉杯争奪全国競技かるた大会,2016-04-23,上杉杯大会,2,D(D):勝敗矛盾2件; 優勝者導出なし / C(C):優勝者導出なし
219,16.0,980,第42回全国競技かるた東京吉野会大会(E),2024-05-04,東京吉野会大会,2,E1(E):勝敗矛盾2件; 優勝者導出なし / E11(E):優勝者導出なし
220,15.4,1274,第44回全国高等学校選手権大会(個人戦),2022-07-24,高等学校選手権(個人戦),1,D1(D):相手未解決15%(8件)
221,15.3,1311,第82回全国競技かるた北國大会,2022-10-01,北國大会,2,E(E):相手未解決3%(4件); 優勝者導出なし / D(D):優勝者導出なし
222,14.6,1330,第2回競技かるた初段認定愛媛大会,2022-10-16,初段認定愛媛大会,2,初段認定級元(-):相手未解決3%(6件); 優勝者導出なし / 初段認定級(-):優勝者導出なし
223,14.0,657,第3回全国かるた競技佐賀大会,2011-09-18,佐賀大会,2,C(C):勝敗矛盾4件 / E(E):優勝者導出なし
224,14.0,1165,第96回全国競技かるた学生選手権大会(A),2025-12-06,学生選手権,1,A(A):round進行異常1箇所; 優勝者導出なし
225,14.0,1236,第1回競技かるた初段認定愛知県高等学校大会,2022-04-10,初段認定愛知県高等学校大会,1,E(E):勝敗矛盾4件; 優勝者導出なし
226,14.0,1443,ミュンヘン競技かるた大会,,,1,結果 Result(-):勝敗矛盾4件; 優勝者導出なし
227,13.7,891,第1回競技かるた初段認定香川大会,2021-12-12,初段認定香川大会,1,詳報(-):相手未解決8%(3件); 優勝者導出なし
228,13.5,944,"第53回全国競技かるた松山大会(D,E)",2024-01-08,松山大会,1,D4(D):相手未解決6%(3件); ミラー欠落8%(3件)
229,12.8,669,"第82回全国かるた競技学生選手権大会結果報告(A,B)",,学生選手権,1,A(A):相手未解決13%(24件)
230,12.2,921,第3回競技かるた初段認定大分大会,2023-11-12,初段認定大分大会,1,詳細(-):相手未解決2%(2件); 勝敗矛盾2件; 優勝者導出なし
231,12.0,683,"第71回全国競技かるた桑名大会(C,D,E)",,桑名大会,2,E1(E):優勝者導出なし / 第71回桑名大会対戦結果表_対戦結果表_もみじの部級(-):優勝者導出なし
232,12.0,690,第24回全国かるた競技広島大会の結果について(大会報告),2013-06-01,広島大会,2,C(C):優勝者導出なし / D(D):優勝者導出なし
233,12.0,727,"第64回高松宮記念杯近江神宮全国歌かるた大会(D,E)",2015-01-12,高松宮杯,2,E2(E):優勝者導出なし / E3(E):優勝者導出なし
234,12.0,729,第73回全国競技かるた桑名大会,2015-03-27,桑名大会,2,E1(E):優勝者導出なし / E2(E):優勝者導出なし
235,12.0,764,"第40回宗像大社小倉百人一首競技かるた大会(C,E)",,宗像大社大会,2,C(C):優勝者導出なし / E(E):優勝者導出なし
236,12.0,775,第4回関東地区初心者かるた大会,2016-12-18,関東地区初心者大会,2,Ｅ級試合結果(E):優勝者導出なし / F級試合結果(-):優勝者導出なし
237,12.0,809,"第42回全国競技かるた宗像大社大会(C,E)",,宗像大社大会,2,C(C):優勝者導出なし / E(E):優勝者導出なし
238,12.0,839,第27回全国競技かるた多摩大会,2019-10-14,多摩大会,2,Ｆ級(-):優勝者導出なし / シニア(-):優勝者導出なし
239,12.0,844,第7回全国競技かるた山口大会(DE級),2019-12-23,山口大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
240,12.0,845,第7回全国競技かるた山口大会,,山口大会,2,B(B):優勝者導出なし / C(C):優勝者導出なし
241,12.0,859,第50回全国競技かるた太宰府大会の結果について(大会報告),2020-01-14,太宰府大会,2,C(C):優勝者導出なし / E(E):優勝者導出なし
242,12.0,883,第1回初段認定杉並大会,2021-11-03,初段認定杉並大会,2,荻窪対戦詳細(-):優勝者導出なし / 井草対戦詳細(-):優勝者導出なし
243,12.0,915,"第39回全国競技かるた宮崎大会(D,E)",2023-10-29,宮崎大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
244,12.0,917,"第11回全国競技かるた山口大会(D,E)",2023-11-04,山口大会,2,D級(D):優勝者導出なし / E級(E):優勝者導出なし
245,12.0,950,"第81回全国競技かるた桑名大会(C,E)",2024-01-27,桑名大会,2,C(C):優勝者導出なし / E1(E):round欠番(1/7)
246,12.0,985,第56回全国女流選手権大会,2024-06-02,女流選手権,2,B(B):優勝者導出なし / C(C):優勝者導出なし
247,12.0,1009,"第44回全国競技かるた鹿児島大会(D,E・08/17)",2024-08-17,鹿児島大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
248,12.0,1026,第24回全国競技かるた富山大会,2024-09-22,富山大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
249,12.0,1064,"第82回全国競技かるた桑名大会(D,E)",2025-01-18,桑名大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
250,12.0,1073,"第44回全国競技かるた鹿児島大会(D,E・01/26)",2025-01-26,鹿児島大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
251,12.0,1113,"第45回全国競技かるた鹿児島大会(D,E・08/17)",2025-08-17,鹿児島大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
252,12.0,1143,"第41回全国競技かるた熊本大会(C,D)",2025-10-19,熊本大会,2,Ｃ級(C):優勝者導出なし / Ｄ級(D):優勝者導出なし
253,12.0,1153,"第21回全国競技かるた香川大会(A,B)",2025-11-23,香川大会,2,A(A):優勝者導出なし / B(B):優勝者導出なし
254,12.0,1175,"第55回太宰府小倉百人一首競技かるた大会(B,C)",2026-01-10,太宰府大会,2,B(B):優勝者導出なし / C(C):優勝者導出なし
255,12.0,1179,"第55回太宰府小倉百人一首競技かるた大会(A,D)",2026-01-17,太宰府大会,2,A(A):優勝者導出なし / D(D):優勝者導出なし
256,12.0,1188,"第34回全国競技かるた広島大会(A,B)",2026-01-25,広島大会,2,A級(A):優勝者導出なし / B級(B):優勝者導出なし
257,12.0,1189,"第21回全国競技かるた香川大会(D,E)",2026-02-11,香川大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
258,12.0,1190,"第45回全国競技かるた鹿児島大会(D,E・02/08)",2026-02-08,鹿児島大会,2,D(D):優勝者導出なし / E(E):優勝者導出なし
259,12.0,1191,"第9回全国競技かるた信州大会(B,C)",2026-02-14,信州大会,2,B級(B):優勝者導出なし / C級(C):優勝者導出なし
260,12.0,1207,第42回全国競技かるた熊本大会,2026-04-26,熊本大会,2,Ａ級詳報(A):優勝者導出なし / Ｂ級詳報(B):優勝者導出なし
261,12.0,1380,第13回全国競技かるた岡山大会,2023-04-15,岡山大会,1,D(D):round欠番(6/7); 優勝者導出なし
262,12.0,1393,小倉百人一首競技かるた 第55回全国女流選手権大会,2023-06-03,女流選手権,2,B(B):優勝者導出なし / C(C):優勝者導出なし
263,12.0,1454,第22回多摩百人一首かるた大会,,多摩大会,2,F級(-):優勝者導出なし / シニア(-):優勝者導出なし
264,11.9,1424,第3回競技かるた初段認定青森大会,2023-09-03,初段認定青森大会,1,結果詳細(-):相手未解決6%(3件); 優勝者導出なし
265,11.5,1501,第2回競技かるた初段認定沖縄大会,2023-06-02,初段認定沖縄大会,1,A級(A):相手未解決5%(9件); 優勝者導出なし
266,11.0,322,蓮生記念第3回全国競技かるた宇都宮大会,2016-10-29,宇都宮大会,2,D3(D):選手名ゴミ1件; 相手名ゴミ5件 / D2(D):選手名ゴミ1件; 相手名ゴミ2件
267,10.8,138,第42回全国かるた競技松山大会,2013-03-20,松山大会,2,ねんりん(-):相手未解決8%(2件) / D2(D):ミラー欠落2%(2件)
268,10.5,955,能登半島地震復興支援チャリティー大会,2024-02-17,,1,C4(C):相手未解決5%(5件); ミラー欠落6%(5件)
269,10.3,704,第29回全国選抜かるた大会,,全国選抜大会,1,A(A):無対戦参加者11%(8人); 優勝者導出なし
270,10.3,1281,第2回全国競技かるた初段認定青森大会,2022-09-04,初段認定青森大会,1,結果詳細(-):相手未解決4%(3件); 優勝者導出なし
271,10.3,1331,第4回競技かるた初段認定静岡大会,2022-12-11,初段認定静岡大会,1,詳細(-):無対戦参加者11%(10人); 優勝者導出なし
272,10.2,866,第1回競技かるた初段認定會津大会,2021-07-11,初段認定会津大会,1,対戦結果(-):相手未解決4%(2件); 優勝者導出なし
273,10.1,258,第26回全国かるた競技水沢大会,2015-09-23,水沢大会,3,D2(D):相手未解決3%(2件) / D3(D):相手未解決3%(2件) / E(E):相手未解決3%(2件)
274,10.0,637,"第30回全国かるた競技東京吉野会大会(A,B)",2011-10-10,東京吉野会大会,1,A(A):勝敗矛盾2件; 優勝者導出なし
275,10.0,724,第5回東京都初心者かるた大会,2014-11-16,東京都初心者大会,1,試合結果(-):勝敗矛盾2件; 優勝者導出なし
276,10.0,733,第16回稲城市民かるた大会,2015-02-01,稲城市民大会,1,対戦結果(-):勝敗矛盾2件; 優勝者導出なし
277,10.0,872,第1回競技かるた初段認定奈良大会,,初段認定奈良大会,1,対戦結果詳細 (報告用)(-):勝敗矛盾2件; 優勝者導出なし
278,10.0,886,第1回競技かるた初段認定宮崎大会,2021-11-21,初段認定宮崎大会,1,詳報(-):勝敗矛盾2件; 優勝者導出なし
279,10.0,894,第1回競技かるた初段認定石川大会,2021-11-07,初段認定石川大会,1,結果詳報(-):勝敗矛盾2件; 優勝者導出なし
280,10.0,1231,第2回競技かるた初段認定静岡大会,2022-03-27,初段認定静岡大会,1,詳細(-):勝敗矛盾2件; 優勝者導出なし
281,10.0,1282,第3回全国競技かるた初段認定静岡大会,2022-09-04,初段認定静岡大会,1,詳細(-):勝敗矛盾2件; 優勝者導出なし
