rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
20,180.0,1450,第13回奥の細道むすびの地全国競技かるた大垣大会,2025-05-03,大垣大会,5,A級(A):相手未解決88%(296件); 優勝者導出なし / B級(B):相手未解決89%(401件); 優勝者導出なし / C級(C):相手未解決95%(396件); 優勝者導出なし
21,179.1,675,第21回全日本新人選手権かるた大会 および 第4回全日本グランドチャンピオン大会,2012-10-28,新人選手権,5,B(B):相手未解決48%(30件); 優勝者導出なし / C(C):相手未解決89%(24件); 優勝者導出なし / D(D):相手未解決65%(17件); 優勝者導出なし
22,174.0,1416,第35回全国中学生選手権大会(個人戦),2023-08-11,中学生選手権(個人戦),5,A(A):相手未解決66%(19件); 優勝者導出なし / C(C):相手未解決49%(112件); 優勝者導出なし / D(D):相手未解決49%(144件); 優勝者導出なし
23,174.0,1459,第20回埼玉県百人一首大会,2011-09-23,埼玉県大会,4,A級(A):相手未解決93%(364件); ミラー欠落79%(22件); 優勝者導出なし / 入門級-1(-):相手未解決100%(31件); 優勝者導出なし / 入門級-2(-):相手未解決88%(30件); 優勝者導出なし
24,172.5,767,第4回奥の細道むすびの地 全国競技かるた大垣大会,2016-05-03,大垣大会,7,Ｃ１級(C):ミラー欠落100%(60件); 無対戦参加者48%(29人); 優勝者導出なし / Ｂ級(B):ミラー欠落100%(119件); 無対戦参加者47%(56人); 優勝者導出なし / Ａ級(A):ミラー欠落100%(81件); 無対戦参加者23%(19人); 優勝者導出なし
25,170.0,785,第25回 全国競技かるた益田大会 成績表,2017-08-06,益田大会,4,D(D):相手未解決88%(135件); round進行異常2箇所; 優勝者導出なし / Ｂ級Ⅰ‐Ⅱ(B):相手未解決69%(132件); round進行異常1箇所; 優勝者導出なし / Ｃ級Ⅰ‐Ⅱ(C):相手未解決67%(128件); round進行異常1箇所; 優勝者導出なし
26,161.8,1126,第37回全国中学生選手権大会(個人戦),2025-08-03,中学生選手権(個人戦),5,C(C):相手未解決45%(104件); 優勝者導出なし / D(D):相手未解決55%(113件); 優勝者導出なし / E(E):相手未解決49%(89件); 優勝者導出なし
27,157.7,1461,第32回埼玉県百人一首大会,2014-09-23,埼玉県大会,3,C 級(C):相手未解決19%(72件); ミラー欠落37%(110件); 勝敗矛盾4件 / 入門級（一般(-):相手未解決24%(16件); ミラー欠落35%(18件); 優勝者導出なし / 入門級（戸田(-):相手未解決13%(4件); ミラー欠落15%(4件); 優勝者導出なし
28,154.4,1441,第12回全国競技かるた兵庫大会,2015-04-29,兵庫大会,3,DDD(D):相手未解決42%(143件); ミラー欠落28%(42件); 勝敗矛盾28件 / CC(C):相手未解決37%(67件); round進行異常1箇所; round欠番(7/9) / EE(E):優勝者導出なし
29,152.4,792,第29回全国競技かるた中学生選手権大会,,中学生選手権(個人戦),5,C(C):相手未解決36%(83件); 優勝者導出なし / E(E):相手未解決63%(48件); 優勝者導出なし / A(A):相手未解決74%(14件)
30,148.5,654,第18回全日本大学かるた選手権大会,,大学選手権,6,４回生以上(-):相手未解決15%(8件); ミラー欠落24%(8件); 優勝者導出なし / 大学代表(-):相手未解決15%(8件); ミラー欠落22%(8件); 優勝者導出なし / ３回生(-):相手未解決10%(6件); ミラー欠落7%(4件); 優勝者導出なし
31,144.0,684,第25回全国競技かるた中学生選手権大会,,中学生選手権(個人戦),4,B(B):相手未解決53%(68件); 優勝者導出なし / A(A):相手未解決86%(24件); 優勝者導出なし / D(D):相手未解決50%(60件); 優勝者導出なし
32,138.7,1466,第6回全国競技かるた札幌大会,2025-10-19,札幌大会,5,C級(C):相手未解決11%(6件); ミラー欠落18%(8件); 優勝者導出なし / D級(D):相手未解決8%(4件); ミラー欠落21%(8件); 優勝者導出なし / A級(A):相手未解決3%(2件); ミラー欠落21%(12件); 優勝者導出なし
33,138.5,1442,第13回全国競技かるた兵庫大会,2016-04-29,兵庫大会,5,B 1～2(B):相手未解決28%(109件); ミラー欠落19%(30件); round進行異常2箇所 / C 1～3(C):相手未解決12%(43件); 優勝者導出なし / D　3～4(D):相手未解決12%(29件); 優勝者導出なし
34,138.0,1182,第39回全国小学生選手権大会,2026-01-18,小学生選手権,4,D(D):相手未解決54%(22件); 優勝者導出なし / C(C):相手未解決63%(17件); 優勝者導出なし / E(E):相手未解決39%(9件); 優勝者導出なし
